number,title,author,star rating,percentage,page count,year pub,genre,sub-genre,date started,date read,time length,review, ,favorites of the year
1,first down,grace reilly,3.00,60.00%,310,"2,022",romance,sports,2023-12-28,2024-01-02,6.0,"the beginning was fun but as the book progressed i lost more and more interest...

(also sidenote this new cover and the old cover differences?? the vibes they each give off are lowkey wildly different lmao)

at the end of it all, i didn't like that the male mc saw the fem mc as like helpless? in a sense. that he need to sacrifice everything for her, to the point of being unhealthy, and also kinda adding a power imbalance? on top of that, the fem mc has the tired complex of ""i don't deserve him"" just because they come from two different worlds, two very different socioeconomic backgrounds. she also had some other things that bothered me but that gets into plot things in the second half of the book that would spoil things... overall just these two idiots were at opposite ends of the spectrum in how they viewed their relationship and it just bothered me too much (not to mention that this gets ""magically"" resolved by one conversation at the last third... not to mention the rushing with tying up the loose ends one after another in a short amount of pages. ://

minor spoiler but the 3rd act did have a similar vibe to the miscommunication trope and while i don't mind it when it happens, more often than not it gives authors to speed run to the ending off of this last ditch conflict plot, and just doesn't work well.. idk man. just all of it aint for me i guess *shrug*

overall.. meh. lowkey shouldve skim read it once i got bored xdd", ,
2,"the lion, the witch, and the wardrobe",c.s. lewis,4.25,85.00%,206,"1,950",fantasy,children,2022-06-08,2024-01-07,579.0,"2nd goodreads listed read but in actuality probably 4th or 5th read at least

even though it’s been nearly two years since ive started this reread as im older i didnt read much then and most of it now. was very fun and refreshing after reading so much of romance genre the past 8? months. glad to be back in this world and will continue reading. excited to get to read my favorite of the series next, the horse and his boy.

also reading this as an adult, i didnt notice but can see now the parallels with parts of the Bible??? very cool and fun to figure that out. :))

from what i remember of the series this would be in the middle? or upper third if i were to rank them i guess.", ,
3,the horse and his boy,c.s. lewis,5.00,100.00%,224,"1,954",fantasy,children,2024-01-07,2024-01-11,5.0,"on goodreads it’s the second read but in actuality more like 5th, 6th, or 8th at least haha

still one of my favorites if not favorite chronicles of narnia book. all good parts of two new characters that the story is driven and not the main cast of characters that the book(s) have been, plus an adventure and almost spy-like mission with shashta and aravis running away from their captors into slavery (literally for one but also metaphorically with marriage for another) that also includes disguises and pretending which is thrilling and fun !

something ive noticed or realized now after finishing the “third” book (chronologically bc my edition orders it like so) in the series, is that when characters split off, we get both pov’s and what occurs for both characters without any skips which is nice and fun.

a good one.
", ,
4,gwen & art are not in love,lex croucher,4.25,85.00%,416,"2,023",romance,historical,2024-01-12,2024-01-14,3.0,"this was so cute and fun and man i just really craved a fantasy or just not modern day world and this delivered

not like a serious ""structured"" or ridged medieval world but it's a fun whimsy spin on the whole king arthur and the knights of the roundtable but also gay :))

only minor complaint is that the big conflict is essentially nonexistent in the first half than builds exponentially in the second (arguably last third of the book), as gwen's romantic feelings as well as her feud with arthur just take up the whole time of the first half. ideally would've liked more meshing with the two halves but overall not too bad *shrug*

i love loved the characters, both gwen and arthur but also the ""interests"" and side characters (love me a friend group dynamic even if it's in medieval england lol) they felt so well rounded and fleshed out, with flaws and yet vibrancy. how they all interacted throughout the book and grew in both romantic and platonic relationships was so fun and lovely and honestly heartwarming

overall very fun, liked the political undertones that lead into conflict but imo shouldve been introduced or alluded to stronger in the beginning", ,
5,behind the net,stephanie archer,3.00,60.00%,424,"2,023",romance,sports,2024-01-03,2024-01-20,18.0,"i was really into it in the beginning with the whole sports romance and then it went downhill and became hard to read and i got burnt out with reading like na romance novels after overindulging for nearly 5? months
i took a break and was re-reading the chronicles of narnia and other library books and never looked back tbh

just today i skim read the last 10 chapters, bc my god why does it drag on and i don't care about it anymore ummm yeah. (but i did skim read bc i wanted to know what happed lol)

i think i like(d) the characters and their relationships both romantic and platonic but since i lost interest in the book, that would dock major points. when i was into the book i did want to read the others in the series bc i do enjoy a book where the characters continue and each have their moment in their own book but now idek man
", ,
6,better hate than never,chloe liese,3.25,65.00%,366,"2,023",romance,adult,2024-01-15,2024-01-21,7.0,"i've enjoyed a large chunk of chloe liese's books, and loved all the characters. but these two, idk man, something just didn't quite stick with me

i think (and from other reviews i saw too) that this book felt a bit disjointed? though this is a criticism of many enemies to lovers, at least the ones ive read, how they don't feel quite as smooth with the transition from enemies to lovers. i think this book did it alright and the reason is reasonable but it felt like we as the reader found out about the discourse too late? and just the sniping back and forth for the two mc's in the beginning felt off when not knowing for a good while why. which is probably why i can only remember the book in two halves rather than a whole just because the connect didn't quite work out for me

on the other hand, i always love big friend/ (found) family dynamics and chloe always seems to deliver on that (from both the previous book in the series and also the bergman series) and i'm glad i not only got to see more tidbits of the couple from the previous book but also more about the side characters in their friend group. for the most part all of the characters both side and main felt whole and their own person with variability and such .. ( and i feel like i'm rambling xd but yeah good characters but also kate and christopher just felt like weirdly they were rushed in production? or just something was missing that made me not click with them as much)

overall, it had decent bones but just felt like there was some disconnect with why they were enemies to start idk *shrug*", ,
7,something new,lucy knisley,4.25,85.00%,292,"2,016",memoir,romance,2024-01-20,2024-01-24,5.0,"having already read kinsley's novels before, i already knew i was going to like her storytelling and art style. i liked how it was structured by the step by step process in a sense of planning a wedding, but having a narrative story through it.

the story was heartwarming, the sentiments were agreeable or interesting and made me ponder my own life and such (even if i don't see myself getting married at the moment but will happen eventually) it made me contemplate what elements i would follow that would go similarly to kinsley's experience or even compared to traditionalist wedding practices

overall, i always enjoy a good wedding story, especially wedding planning (despite the stress associated with it) and kinsley's art and storytelling was lovely to experience", ,
8,done and dusted,lyla sage,3.75,75.00%,356,"2,023",romance,western,2024-01-24,2024-01-24,1.0,"this is not the first time i've started a book at midnight (or later) and then nearly finished the book a couple hours later staying up because i got so hooked. this time is no different, with the exception of me not only finish reading the book in essentially one sitting and reading it so fast that i finished before the sun came up

much to say that this book was easy light fun read. was hooked pretty much from the get go and as a horse girl growing up this really dove into that interest aha

minor touches on heavy topics but was not the main coverage, other than emmy's anxiety after her accident. maybe would've liked to see more into it, with not only emmy but also luke, the heavier topics that linger but don't get touched that much on, other than a few key scenes. just wish that some more heavier topics or possible routes the subplots that the book could've gone through didn't, and that those potential topics didn't get glossed over or skimmed through. also another point that slightly bothered me was a couple scenes were we would get both perspectives and they didn't provide too much different information especially after having just read the other's perspective. maybe would've preferred it to happen once or twice but it happened a bit more than i would've liked.

also to further add, that i do put emphasis on a light fun read. (slight spoiler but) the plot felt smooth sailing and it really just was about emmy coming back to her hometown after not being home for awhile after her accident but not the deep emotional journey that i'd expected based on (funnily enough) other stories i've read with competitive horse riders having accidents. not saying it's a bad thing, but it is what it is, a fun read.

for those curious the spice is there and evident but the buildup was good and it made sense with the plot and chemistry and not like bam they're going at it like bunnies instantly ya know.. (would say under 4? moments if i had to count)

overall, it was nice fun and as a horse girl i enjoyed going back to the world of modern day cowgirls and cowboys :-)

and yes i will be reading the next books in this series", ,
9,prince caspian,c.s. lewis,4.00,80.00%,240,"1,951",fantasy,children,2024-01-25,2024-01-30,6.0,"it's always a pleasure to read these books and i've enjoyed my re-read of them (i think i've read this book at least 4-5 times. maybe even more)

yes i did take longer than i have for the other two books but it wasn't my lack of interest but rather phone time got sucked up and whoops it's 2 am and i should sleep type beat. finally today got to settle down and finish reading it and it twas a pleasure

in my mental ranking of prince caspian compared to the other 6 books in the series i would put it in the middleish, it's quite good but i don't enjoy it as much as horse and his boy or voyage of the dawn treader. maybe tied with last battle.

the changing pov's was nice, and the journey of having the pevensies try to connect and help caspian with his murderous uncle and reunite with aslan was exciting to read", ,
10,xoxo,axie oh,3.75,75.00%,352,"2,021",romance,fame/celebrity,2024-01-31,2024-02-01,2.0,"i picked this book up simply to fulfill a challenge in the popsugar reading challenge and maybe would’ve not heard about it or read it for a long while if at all

that’s not to discredit the book, just that after being out of high school for awhile, any high school aged story gets too awkward or cringey for me so i tend to avoid them even if the story might be good. this book did have it’s cringey or awkward moments but they weren’t overwhelming or happening so often in the book that it was tolerable? i didnt need to put down the book or anything to take a breather from the cringey ness like i do with other books haha

i really did like this story, as like me the mc is korean american, growing up in the us in a local ethnic community, having complicated relationships with your immigrant parents. because of this i did understand all the tidbits of culture sprinkled about, the food, kpop culture, etc and enjoyed the satisfaction of knowing what it is before jenny or the author would briefly explain what it is. i had also been wanting to read a boarding school recently and this satisfied that craving (though now i want to read more aha)

the main premise and meet cute was fun and lovely and cute. i related to jenny especially when i was younger feeling very rigid and sticking to the rules, not always living in the present and enjoying the moment. this also feeds into the whole fantasy of falling in love with a celebrity as a normal person and the chaos and antics that follow which is always fun. i liked that jenny also developed good friendships with other people and not just her love interest once she moved to korea, with her classmates and even the other guys in xoxo. the side characters felt developed and independent of the mc and the ml.

overall a fun read and enjoyed a story where my background was reflected with the main character", ,
