number,title,author,rating /5⭐,percentage,page count,year pub,genre,sub-genre,date started,date read,time length,review, 
1,spyxfamily 1,tatsuya endo,4.00,80.00%,212,"2,019",contemporary,adult,March 19,March 21,3.0,fun spy manga :), 
2,if i never met you,mhairi mcfarlane,4.00,80.00%,409,"2,020",romance,adult,April 25,April 29,5.0,"coming off of the highs of watching kdramas with fake dating, I was seeking more fake dating stories to consume. 
SO. although it makes sense, it made me very thirsty? frustrated? mad? that the set up and reasoning for the fake dating took so long to occur in the book. (pssst minor spoiler, <spoiler>the fake dating trope started in roughly second half of the book. <s>don't even get me started on how we don't get to see the couple be in their ~real~ couple moment</s></spoiler>)

BUT i really did enjoy this book. it gave me all the giddy feelings of love and also dealing with the heartbreak of seemingly long-lasting love. and family trauma, spicy topic but enjoyed that element in the story. also i do enjoy a good revenge plot. hehe. 

not to mention the storyline of being a woman in a male-dominated industry, such as working in a law firm spoke to me. not in a relatable woman in the workforce way, but more as treating women right. and also the mental and emotional journey one may go through to see your worth in your life with or without a significant other. 

side note: i love emily. messy, in both the literal and figurative sense, she did really match and balance laurie's more traditional morally set lifestyle. soulmates do not have to be lovers!!! they can be friends or even just people that you meet that change your life!!!", 
3,the dating plan,sara desai,4.00,80.00%,352,"2,021",romance,adult,April 30,May 2,3.0,"going off of my continued hunger for fake dating here we are. 

really enjoyed the child friends reunited into fake dating to fulfill an inheritance stipulation. plus the whole enemies kinda to lovers heh. and a bad boy who turned into a business man?? 😩💦💦

i also really loved the family elements, both the positive and negative parts about it as well as just having it being contrasted. 

i am not a brown kid so have no clue if there is any accuracy in how a large indian family is portrayed here uhhh yeah. seemed good though? from my limited view of having brown friends? yeah

!!this book does have tw domestic abuse elements mentioned in side characters but not the main part of the story. !! 

overall very solid love story with all the good tropes", 
4,to have and to hoax,martha waters,3.50,70.00%,367,"2,020",romance,historical,May 3,May 10,8.0,"after a recent re-watch of pride and prejudice, i've been wanting more regency romance so here we are..

honestly this was a decent book. the pacing felt slow and like dragging? idk it was hard to get through, even though the relationship dynamics were a strong thing to have me keep reading, specifically within the main 6+ chars

potentially the main reason why it felt slow was the main conflict having a slow burn element. revenge and the long con in this book worked but was mildly painful to go through.

still enjoyed the steamy regency elements in this book and will continue reading this anthology with the main core cast of characters. ", 
5,spyxfamily 2,tatsuya endo,4.00,80.00%,194,"2,019",contemporary,adult,March 21,May 16,57.0,fun stuff. build up with more spy antics., 
6,to love and to loathe,martha waters,4.00,80.00%,384,"2,021",romance,historical,May 11,May 22,12.0,"frenemies to lovers but with friends with benefits? in an gregorian/victorian era (i dont know what exact era)? yeah,,, sign me up

unlike the previous book of this anthology-esque series, this was a good slow burn and build up to the two main leads being utter idiots. there was the bad communication trope but was only in the last quarter of the book so that frustration was short lived. 

definitely a book that i kept wanting to read, though the draggy-ness did leave me distracted to other things lol 

also love to see the series characters come back again with their antics and friendships heh. ngl i’m not that interested any other relationships in this series after jeremy and diana but will keep reading for those easter eggs. ", 
7,anxious people,fredrik backman,4.50,90.00%,336,"2,019",mystery,fantasy,May 23,May 27,5.0,"i really really loved reading this. the dark comedy elements were perfect, the characterization of the unique cast, how time goes back and forth but made sense, the different perspectives.

somewhat big thinking kinda spicy book but the good thinking kinda spicy book
everytime i read this book, hours flew by (not to mention the chapters are short which helps the reading feeling fast) 

not to spoil any content of the book, but thoroughly enjoyed the twists and turns, how backman utilized the changing of perspectives, the breaks in story to add to the suspense. and the conclusion, how everything wraps up and all the strings for the characters are completed and resolved, very full circle feeling.", 
8,the unexpected everything,morgan matson,4.75,95.00%,519,"2,016",romance,teen/ya,August 10,August 13,4.0,"after starting and not finishing so many books for a few months, reading a good 'ole reliable morgan matson summer ya contemporary felt like coming home. all the good feelings.

first off i loved the little cameos from other books (a common morgan matson thing heh)

the plot was not overly complicated but not too simple either. it really felt like the embodiment of spending a summer with friends. and the complicated family things that andie had to heal from and the growth of andie fighting her weaknesses and vices was encouraging. i know how it feels when there's an expectation of people and things in your life, and when it suddenly changes feels like the whole world sucked you up in a black hole. 

(i feel like this makes no cohesive sense oops)

overall, a very good summer read with a little conflict thrown in to make it spicy.]", 
9,vampire academy,richelle mead,3.75,75.00%,332,"2,007",paranormal,teen/ya,October 14,October 15,2.0,"i recently thought about this series and wanted to re-read it again since it's been about 8 years... fast forward to me being bored in lecture and pulling up the ebook on my phone and blew through the re-read. 

exciting to be in this world of moroi and dhampirs. some elements are a bit cringe, reading it again as i'm older but overall good memories of the book and strong female-hero fighting evil vampires.
", 
10,frostbite,richelle mead,4.00,80.00%,327,"2,008",paranormal,teen/ya,October 15,October 16,2.0,"re-reading this book was good. although the review/reaction of this book below does make me cringe, younger me was right. the characterization, how much rose changed from book 1 to book 2 was a noticeable change. yes she is still reckless and rule-breaking but at least she has some sense now to not make big mistakes or at least have the ability and instincts to try and make up from those mistakes and faults. (and yes i love the main character and her love interest together, even though thinking more about them as a couple makes me cringe with the whole ""forbidden romance"" trope. but that could just be older me looking at this sus romance vs younger me liking the love story. ugh.)", 
