number,title,author,rating /5⭐,percentage,page count,year pub,genre,sub-genre,date started,date read,time length,review, ,favorites of the year
1,city of fallen angels,cassandra clare,3.00,60.00%,425,"2,011",paranormal,teen/ya,December 30,January 5,7.0,"wow what a great start to reading my least favorite in a book series that's supposed to be my favorite series. 
(i believe third or fourth reread of this book. i'm trying to catch up in 2022/2023 to the books that are recently released in this shadowhunter realm)

and in rereading this book, no even series, really makes me question why it's supposedly my favorite series. i'm starting to think it no longer is. maybe because i love these characters so much, but the events that occur? not a fan. (like the whole maureen storyline? ugh)

suffice to say, this book is not bad, per say, and the reasons in my head for why i didn't like this book are no longer valid reasons to me why i don't like this book. but one big reason still stands, jace and clary finally become a couple but then their happy couple-ness instantly gets taken away from me >:(

positives, i guess. i did like that we get to have more of simon's persepctive, and going forward after city of glass we really do get those changing perspectives in a book, which is always fun and adds more drama and suspense in a low fantasy story world. and we get to learn more about the people in this shadowhuntery world, people excluding shadowhunters. 

overall, not as bad as i thought (maybe city of ashes will be my least favorite now)", ,
2,the hating game,sally thorne,4.50,90.00%,365,"2,016",romance,adult,January 8,January 10,3.0,"despite having this book on my tbr list for many years since it was first oh so popular on booktube, i finally got around to reading it

enemies to lovers is not really my preference of trope, but my love for josh and lucy really grew. how dimensional and complicated they both are in their own unique ways, and how they brought out the best in each other, in the worst circumstances (including when they were self-proclaimed dastardly enemies).

addicting to read and a warm hug of a conclusion to close the book :^)", ,
3,city of lost souls,cassandra clare,4.50,90.00%,535,"2,012",paranormal,teen/ya,January 5,January 15,11.0,"kinda mixed feelings, but i ultimately did enjoy reading this book (mainly because we get to have multiple storylines going at once, all to converge at the huge battle at the end). 

but man, clary is a brave, but very reckless and kinda stupid gorl. like dude, the one chance to save jace from sebastian, and she folds like a deck of cards, because ""jace can't die""

i think a large portion of me enjoying this book in the past was because i was urgently waiting for city of heavenly fire, so i now changed my rating from what it was before. still a solid book in the series, but not my favorite like with city of glass", ,
4,city of heavenly fire,cassandra clare,5.00,100.00%,725,"2,014",paranormal,teen/ya,January 16,January 22,7.0,"i can confidentially say that while rereading this series, prior to this reread, i only read this book at release. i do really, really still enjoy it. packed with intense fight scenes, plot lines wrapping up but also hints to future series in this shadowhunter world, changing perspectives (maybe for a non-fantasy reader could be overwhelming with so many changing persepctives), and strong character storyarcs (with the main 5ish). 

also just gives the satisfaction of a resolution after the past five books that gave me such an unsatisfactory feeling, conflicted and some cringe-ness. 
", ,
5,the bane chronicles,cassandra clare,4.25,85.00%,507,"2,014",paranormal,teen/ya,January 22,January 29,8.0,"second time reading: 
not sure if it's because it's been so long or it's because when i first read this, i rush read it on nye so that it would count towards my reading of that year lol, so i don't remember some of these stories, if not most of them. 

really enjoyed reading them, especially after just finished rereading tid and tmi. all the little tidbits of the herondales, the lightwoods, how magnus interacts with both ragnor and tessa <3 love love love this character interaction. ", ,
6,tales from the shadowhunter academy,cassandra clare,4.50,90.00%,655,"2,016",paranormal,teen/ya,January 29,February 1,4.0,"i very much enjoyed this collection, maybe a little more than the bane chronicles, but average of all the stories about the same level of fun-ness that the bane chronicles had to an extent. 

it was exciting to read simon's path to ascension and (hinted at) becoming parabatai-ed with interlude-ish stories of both the recent and far past of beloved (and not so much) characters of this world. i especially loved the parts about tessa and will's kids (and their cousins) and am very very excited to get to reading the last hours

satisfied with this read, and wow does it give more context to next book of lady midnight, as this is the first time reading it but yet i've read lady midnight before in this whole re-reading the shadowhunters process", ,
7,displacement: a travelogue,lucy knisley,4.25,85.00%,161,"2,015",memoir,adult,February 1,February 2,2.0,"i nearly read this in one day if i didn't have schoolwork to do..

i liked this one for different reasons than relish, but overall liked relish more because it was food-related, while this book had perspectives on more? heavy? topics. of course not everyone has good relationships with their family, much less their grandparents, but i did enjoy those elements and how they were explored in this book. 

the concepts of older generations not being able to verbally or even physically show love to others, to family, but yet lucy understands this divide and continues and continues to bridge that gap, taking that step to say ""I love you"" and earnestly hug them. 

very heartwarming but also contemplative notes to have about one's past and future and the past and future generations. ", ,
8,nora goes off script,annabel monaghan,4.25,85.00%,272,"2,022",romance,fame/celebrity,February 2,February 5,4.0,"as i've probably said before but i am a sucker for these almost cliche-y but not really because they have deep emotions that the characters need to process. like the hallmark romance movies that nora writes but they have some actual depth and human emotion/realism. 

also despite knowing the ""evils"" of hollywood, i'm always charmed by a hollywood romance novel. maybe because of the thrill of it, and also the romanticism of the environment and circumstances. 

but i really did love reading this book, equal parts fun and light yet leaning more on the emotional serious side at the same time. it was over the span of almost 20ish hours, including me doing other things and sleep (lol) in which i read this book, thus showing how much i was sucked into this story of nora and leo. 

vague-ish spoiler, but i was a bit surprised at the twist, or at least how it happened. when the conflict started to occur, i did guess it could stem from misunderstanding and pretenses, but was not expecting it to be delivered in the manner that it was. 

only minor gripe was how the mc and the ml resolved and reconnected so quickly, and then bam happy ending and the book ends. though i can see how they ""talked"" through the miscommunication, but i feel like there could have been more time in-between the realization of a misunderstanding to then happiness and love. or maybe that's more a ""realistic"" vision and this is a romance novel that shouldn't drag the ending. hmm.
", ,
9,the bodyguard,katherine center,3.75,75.00%,302,"2,022",romance,fame/celebrity,February 3,February 5,3.0,"I have conflicting feelings about this book. but I did enjoy reading it (although I was really annoyed that the author mixed up judo and jujitsu based on how the mc could flip a person running full speed at them, smh...though overall this was a very minor gripe but still annoying at the time lol)

bare bones, this book has all the aspects of a romance novel that I enjoy, all those fun cliches, fake-dating, a celebrity involved, bad-ass mc female. and with those specific tropes were delivered, and 
I was satisfied with them. 

on the other hand, the cliche-ness of the whole book was a bit too cheesy for me, especially in the first quarter/third of the book. okay we get it, you're a workaholic, had a traumatic childhood, kinda distant mom that just died, your boyfriend dumps you the day after said mom's funeral, <spoiler> your best friend hooks up and promptly dates said ex boyfriend the week after being dumped by him as you're mourning your heartbreak over the phone with her,</spoiler> yada yada. all of this was just too much trope-y cliche-y in a bad way, all at once. like the mc kept referring to herself as a shark during an argument with her boss, as to why she needed to keep working and not to take time off to mourn the death of her mom (like it's quirky, I guess, but why so many times). all of these stressors just felt almost unnatural, in the way it was delivered, like in those bad but good but mostly bad rom-com's.

overall, I did enjoy reading this book. but I think I would rather reach for other fake-dating, falling-in-love-with-the-bodyguard books rather than this one, I guess. ", ,
10,lady midnight,cassandra clare,4.50,90.00%,688,"2,016",fantasy,teen/ya,February 6,February 21,16.0,"last time when i read this book it took me over a year, as the plot was rolling out intently but seemingly slowly (granted this is the first in a trilogy so there is much exposition and context needed to be done considering the events of city of heavenly fire which makes sense) but man i could only read this book in spurts, never all at once like i've done with the other books in my re-read of the shadowhunter chronicles (speaking of, i've caught up and now get to read new material heh)

since it's been almost 6 years, not including the time it took reading this book the first time, the whole plot of this book was basically a mystery to me. so it was like reading this book for the first time, with all the knowledge of the other books in this shadow world fresh in my brain. YET, i'm a doofus and spoiled parts of not only this book but also this trilogy because i got impatient and curious about characters and read the wiki character pages ._. so i found out about betrayals and deaths and lies and character reveals wayy too soon. ugh. 

but despite all that, i did enjoy reading this book. such a rich story with many layers and complications that the blackthorn children encounter. (though the plot arc vaguely follows tid and tmi plot arcs but different-ish which makes this plot arc repetitive yet not quite) a good start to this series of the dark artifices. and, my god are things complicated aha. ", ,
11,a long conversation,cassandra clare,4.00,80.00%,28,"2,017",fantasy,teen/ya,March 26,March 26,1.0,"in almost being finished with the lord of the shadows (which by the way is taking me incredibly long to finish, but at least not as long as when i first ready lady midnight lol), i find out that this little novella from clary's perspective right before the end end of lady midnight/beginning of lord of the shadows 

and mannnnnnnn i love me some of the og group and them having fun and vibing. just makes me happy reading them, like seeing an old friend again. 

(s/o to someone on tumblr who posted this novella for those that didn't have the 1st edition)
", ,
